course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
CMPSC  5A,SOLIS S W,Spring,2024,24,6,9,5,11,80,0,2.62875,0,CMPSC,0,0,2,5,1,1,6,6,4,0,0,Introduction to Data Science 1,4,None beyond high-school algebra; designed for students with little to no experience in programming or data science.,"Introduction to data science methods and the Python programming language for students with little to no experience in the subjects. Topics include foundational programming concepts, problem-solving strategies, and code design and data science concepts such as table operations, exploratory data analysis, and basic probability.",3/5,Some students report that lectures are fast-paced and may assume prior knowledge making it challenging for beginners. Several students mention the need for attending office hours and seeking additional help to grasp the material. There are concerns about the difficulty level of the course for an introductory class.,23,53%,3.4
CMPSC 5A,TANNA A A,Spring,2024,15,3,2,0,6,50,0,3.034,0,CMPSC,0,0,11,0,1,0,6,3,0,3,0,Introduction to Data Science 1,4,None beyond high-school algebra; designed for students with little to no experience in programming or data science.,"Introduction to data science methods and the Python programming language for students with little to no experience in the subjects. Topics include foundational programming concepts, problem-solving strategies, and code design and data science concepts such as table operations, exploratory data analysis, and basic probability.",3.5/5,"Student feedback is mixed. One student mentions that while lectures are slow, labs can be challenging for beginners. Another student appreciates the professor's willingness to help and clear grading criteria.",2,50%,1.5
CMPSC 5B,SOLIS S W,Spring,2024,8,4,2,2,3,32,0,2.875,0,CMPSC,0,0,3,4,1,0,2,2,1,0,0,Introduction to Data Science 2,4,CMPSC 5A with a grade of C or better,"This course continues the themes of CMPSC 5A. Students explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction, and decision-making. The course focuses on transforming and analyzing data; machine learning methods including regression, classification, and clustering; principles behind data visualizations; concepts of measurement error and prediction; and techniques for scalable data processing.",3.0/5,"Some students report that lectures are fast-paced and may assume prior knowledge, making it challenging for beginners. Several students mention the need for attending office hours and seeking additional help to grasp the material.",23,53%,3.4
CMPSC 9,KHARITONOVA Y,Spring,2024,21,14,6,7,11,129,0,2.733333333,0,CMPSC,0,0,4,17,8,4,20,9,8,0,0,Intermediate Python Programming,4,CMPSC 8 or ENGR 3 with a grade of C or better,"Intermediate topics in Computer Science using the Python programming language. Topics include object-oriented programming, runtime analysis, data structures, and software testing methodologies.",2.5/5,"Student feedback is mixed. Some students find the labs challenging but manageable with effort, while others feel the course is overly difficult for an introductory class. Attendance and engagement in lectures are emphasized for success.",162,33%,3.6
CMPSC 9,SOLIS S W,Spring,2024,5,13,8,3,14,92,0,2.351,0,CMPSC,0,0,0,12,10,3,13,5,6,0,0,Intermediate Python Programming,4,CMPSC 8 or ENGR 3 with a grade of C or better,"Intermediate topics in Computer Science using the Python programming language. Topics include object-oriented programming, runtime analysis, data structures, and software testing methodologies.",3.0/5,"Students mention that while lectures are informative, labs can be challenging and time-consuming. Attending office hours and starting assignments early are recommended for success.",23,53%,3.4
CMPSC 16,MAJEDI M,Spring,2024,36,11,5,2,7,105,0,2.900952381,0,CMPSC,0,0,0,10,8,5,9,6,4,2,0,Problem Solving with Computers I,4,CMPSC 8 or ENGR 3 with a grade of C or better,"Introduction to problem-solving techniques and methodologies in computer science. Topics include algorithm development, data structures, and programming paradigms.",3.6/5,"Students describe Professor Majedi as caring and accessible. Some appreciate her detailed explanations, while others find lectures slow and repetitive. Tough grading is mentioned, but assignments are generally fair and manageable.",16,57%,2.7
CMPSC 24,BURK K T,Spring,2024,84,17,5,2,4,130,0,3.57,0,CMPSC,0,0,9,0,0,0,7,0,2,0,0,Problem Solving with Computers II,4,CMPSC 16 with a grade of C or better; and MATH 3B or 2B with a grade of C or better (may be taken concurrently),"Intermediate building blocks for solving problems using computers. Topics include intermediate object-oriented programming, data structures, object-oriented design, algorithms for manipulating these data structures and their run-time analyses. Data structures introduced include stacks, queues, lists, trees, and sets.",3,"BURK! Man I miss this guy. Crappy lecturer; great for non-intro classes. Lectures not mandatory, interesting and advanced weekly projects, no exams. You WILL get stuck & have to wait in a long line of people looking for help, but it's worth it — I got 3x better at coding!!'",67,54%,4.4
CMPSC 32,MATNI Z A,Spring,2024,29,33,12,5,0,154,0,3.15,0,CMPSC,0,0,2,25,8,0,25,14,1,0,0,Object Oriented Design and Implementation,4,CMPSC 24 with a grade of C or better,"Advanced topics in object-oriented computing. Topics include encapsulation, data hiding, inheritance, polymorphism, compilation, linking and loading, memory management, and debugging; recent advances in design and development tools, practices, libraries, and operating system support.",4,Matni is a great CS professor. My third class with him and he is still great. He gives great lectures with in depth examples. The class is really straightforward and really well organized. My only gripe is that the homework is really long and hard sometimes. The exams are usually much easier than the HW and he allows an entire cheat sheet.',111,80%,3
CMPSC 40,MAJEDI M,Spring,2024,22,6,0,1,1,54,0,3.38,0,CMPSC,0,0,1,5,3,1,11,1,2,0,0,Foundations of Computer Science,5,CMPSC 16 with a grade of C or better and Mathematics 4A with a grade of C or better,"Introduction to the theoretical underpinnings of computer science. Topics include propositional and predicate logic, set theory, functions and relations, counting, mathematical induction, and recursion.",1.8,"Lectures are confusing, disorganized, and sleep-inducing. I learned more from the 50-minute section than in 2.5 weekly hours of lecture. Get ready to teach yourself most of the content because she won't. I will say her TAs are pretty good, so definitely take advantage of that. But don't expect much from Majedi herself.'",51,26%,4.4
CMPSC 64,SHERWOOD T P,Spring,2024,76,11,1,0,0,107,0,3.74,0,CMPSC,0,0,0,5,1,0,8,4,1,0,0,Computer Organization and Logic Design,4,CMPSC 16 with a grade of C or better; and Mathematics 3C or 4A with a grade of C or better,"Assembly language programming and advanced computer organization; Digital logic design topics including gates, combinational circuits, flip-flops, and the design and analysis of sequential circuits.",4.8,"Professor Sherwood's lectures were great, and his lecture slides posted afterwards were even better. He connected concepts we were learning to the real world, which was interesting and inspirational.'",21,100%,2.5
